listing_id,project_id,district_old,ward_old,ward_2025,beltway_zone,area_m2,size_band,bedrooms,bathrooms,total_price_billion_vnd_input,total_price_vnd,price_m2_vnd,project_name
BCG0002,CG085,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,90.0,Large,2.0,2.0,7.6,7600000000.0,84444444.44,Vimeco II (Nguyen Chanh)
BCG0004,CG085,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,96.0,Large,2.0,2.0,7.8,7800000000.0,81250000.0,Vimeco II (Nguyen Chanh)
BCG0005,CG037,Cau Giay,Trung Hoa,Yen Hoa,2-2.5,86.0,Large,2.0,2.0,8.9,8900000000.0,103488372.09,Eurowindow Multi Complex
BCG0009,CG023,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,60.0,Medium,2.0,1.0,3.99,3990000000.0,66500000.0,B3D Nam Trung Yen Apartment
BCG0013,CG014,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,50.0,Small,2.0,1.0,4.0,4000000000.0,80000000.0,A14B1 Nam Trung Yen Apartment
BCG0014,CG021,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,61.4,Medium,2.0,1.0,4.7,4700000000.0,76547231.27,B11 Nam Trung Yen Apartment
BCG0017,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,63.0,Medium,2.0,2.0,8.0,8000000000.0,126984126.98,Vinhomes D'Capitale
BCG0021,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,72.0,Medium,2.0,2.0,9.8,9800000000.0,136111111.11,Vinhomes D'Capitale
BCG0025,CG013,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,55.0,Small,2.0,1.0,4.6,4600000000.0,83636363.64,A14A1 Nam Trung Yen Apartment
BCG0032,CG090,Cau Giay,Trung Hoa,Yen Hoa,2-2.5,71.0,Medium,2.0,1.0,6.6,6600000000.0,92957746.48,Yen Hoa Sunshine
BCG0034,CG019,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,65.0,Medium,2.0,2.0,5.0,5000000000.0,76923076.92,B10A Nam Trung Yen Apartment
BCG0042,CG090,Cau Giay,Trung Hoa,Yen Hoa,2-2.5,93.0,Large,2.0,2.0,9.0,9000000000.0,96774193.55,Yen Hoa Sunshine
BCG0046,CG051,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,80.0,Large,2.0,2.0,6.7,6700000000.0,83750000.0,Institute of Police Science and Strategy Apartment
BCG0051,CG051,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,78.0,Medium,2.0,2.0,6.8,6800000000.0,87179487.18,Institute of Police Science and Strategy Apartment
BCG0054,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,70.0,Medium,2.0,2.0,7.2,7200000000.0,102857142.86,Vinhomes D'Capitale
BCG0064,CG014,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,56.0,Small,2.0,1.0,5.0,5000000000.0,89285714.29,A14B1 Nam Trung Yen Apartment
