listing_id,project_id,district_old,ward_old,ward_2025,beltway_zone,area_m2,size_band,bedrooms,bathrooms,rent_monthly_million_vnd_input,rent_monthly_vnd,project_name
RCG0011,CG073,Cau Giay,Trung Hoa,Dai Mo,3-3.5,89.0,Large,2.0,2.0,16.0,16000000.0,Thang Long Number One
RCG0013,CG073,Cau Giay,Trung Hoa,Dai Mo,3-3.5,96.0,Large,2.0,2.0,16.5,16500000.0,Thang Long Number One
RCG0017,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,80.0,Large,2.0,2.0,23.0,23000000.0,Vinhomes D'Capitale
RCG0024,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,60.0,Medium,2.0,1.0,18.0,18000000.0,Vinhomes D'Capitale
RCG0029,CG002,Cau Giay,Trung Hoa,Yen Hoa,2-2.5,85.0,Large,2.0,2.0,15.0,15000000.0,15T Trung Hoa - Nhan Chinh Apartment
RCG0032,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,74.0,Medium,2.0,2.0,21.5,21500000.0,Vinhomes D'Capitale
RCG0037,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,51.0,Small,2.0,1.0,16.5,16500000.0,Vinhomes D'Capitale
RCG0041,CG081,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,93.0,Large,2.0,2.0,17.0,17000000.0,Udic Complex
RCG0043,CG037,Cau Giay,Trung Hoa,Yen Hoa,2-2.5,90.0,Large,2.0,2.0,15.0,15000000.0,Eurowindow Multi Complex
RCG0044,CG006,Cau Giay,Trung Hoa,Yen Hoa,2-2.5,75.0,Medium,2.0,1.0,14.5,14500000.0,17T9 Hoang Dao Thuy Apartment
RCG0046,CG086,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,55.0,Small,2.0,1.0,19.0,19000000.0,Vinhomes D'Capitale
RCG0054,CG081,Cau Giay,Trung Hoa,Yen Hoa,2.5-3,93.0,Large,2.0,2.0,17.0,17000000.0,Udic Complex
